"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","British Columbia","2016A000259","Women+","All ages","Persons","249","units","0","v469820","11.3.1","2872323","","","","0"
"2024","British Columbia","2016A000259","Women+","0 to 4 years","Persons","249","units","0","v470036","11.3.7","106438","","","","0"
"2024","British Columbia","2016A000259","Women+","5 to 9 years","Persons","249","units","0","v469850","11.3.13","127167","","","","0"
"2024","British Columbia","2016A000259","Women+","10 to 14 years","Persons","249","units","0","v469868","11.3.19","132817","","","","0"
"2024","British Columbia","2016A000259","Women+","15 to 19 years","Persons","249","units","0","v469889","11.3.25","146391","","","","0"
"2024","British Columbia","2016A000259","Women+","20 to 24 years","Persons","249","units","0","v469910","11.3.31","184015","","","","0"
"2024","British Columbia","2016A000259","Women+","25 to 29 years","Persons","249","units","0","v469928","11.3.37","215288","","","","0"
"2024","British Columbia","2016A000259","Women+","30 to 34 years","Persons","249","units","0","v469949","11.3.43","229206","","","","0"
"2024","British Columbia","2016A000259","Women+","35 to 39 years","Persons","249","units","0","v469967","11.3.49","213325","","","","0"
"2024","British Columbia","2016A000259","Women+","40 to 44 years","Persons","249","units","0","v469988","11.3.55","197424","","","","0"
"2024","British Columbia","2016A000259","Women+","45 to 49 years","Persons","249","units","0","v470009","11.3.61","174134","","","","0"
"2024","British Columbia","2016A000259","Women+","50 to 54 years","Persons","249","units","0","v470027","11.3.67","176280","","","","0"
"2024","British Columbia","2016A000259","Women+","55 to 59 years","Persons","249","units","0","v470048","11.3.73","176474","","","","0"
"2024","British Columbia","2016A000259","Women+","60 to 64 years","Persons","249","units","0","v470066","11.3.79","190924","","","","0"
"2024","British Columbia","2016A000259","Women+","65 to 69 years","Persons","249","units","0","v470087","11.3.85","179536","","","","0"
"2024","British Columbia","2016A000259","Women+","70 to 74 years","Persons","249","units","0","v470090","11.3.86","151282","","","","0"
"2024","British Columbia","2016A000259","Women+","75 to 79 years","Persons","249","units","0","v470093","11.3.87","117384","","","","0"
"2024","British Columbia","2016A000259","Women+","80 to 84 years","Persons","249","units","0","v470096","11.3.88","75265","","","","0"
"2024","British Columbia","2016A000259","Women+","85 to 89 years","Persons","249","units","0","v470099","11.3.89","45959","","","","0"
"2024","British Columbia","2016A000259","Women+","90 to 94 years","Persons","249","units","0","v31226940","11.3.126","23757","","","","0"
"2024","British Columbia","2016A000259","Women+","95 to 99 years","Persons","249","units","0","v31226946","11.3.132","7903","","","","0"
"2024","British Columbia","2016A000259","Women+","100 years and older","Persons","249","units","0","v31226952","11.3.138","1354","","","","0"
"2024","British Columbia","2016A000259","Women+","Median age","Years","308","units","0","v469841","11.3.105","42.0","","","","1"


